gene,chr,strand,TSS_coord,y,H2A.Z_TSS_bin03,H2A.Z_TSS_bin08,H2A.Z_TSS_bin11,H2A.Z_TSS_bin20,H2A.Zac_TSS_bin03,H2A.Zac_TSS_bin04,H2A.Zac_TSS_bin10,H2A.Zac_TSS_bin11,H2A.Zac_TSS_bin15,H2B.Z_TSS_bin12,H3K18ac_TSS_bin11,H3K18ac_TSS_bin18,H3K18me_TSS_bin03,H3K18me_TSS_bin10,H3K18me_TSS_bin11,H3K18me_TSS_bin13,H3K18me_TSS_bin16,H3K18me_TSS_bin18,H3K27ac_TSS_bin01,H3K27ac_TSS_bin02,H3K27ac_TSS_bin05,H3K27ac_TSS_bin06,H3K27ac_TSS_bin11,H3K27ac_TSS_bin19,H3K27me_TSS_bin03,H3K27me_TSS_bin16,H3K4me1_TSS_bin08,H3R17me2_TSS_bin03,H3R17me2_TSS_bin04,H3_TSS_bin20
PF3D7_0100100,Pf3D7_01_v3,+,29509,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5830350005000005,0.2785450091799999,0.66117001962,0.68195502757,0.3651900190929998,0.1819050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0367750000999999,3.755209980655,0.0,0.0,0.0,22.092340014999994
PF3D7_0101300,Pf3D7_01_v3,+,74300,1,0.0804200000999999,0.0,0.5239049790399999,0.0,0.0,0.0,0.0083299999999999,0.0,0.0,0.0,0.0,0.0,0.0025199999999999,0.0036,0.0725949999999999,0.2296400002999999,0.9450099999999998,0.72071,0.0,0.0,0.0,0.0,0.0020800002,0.0,0.0,0.0,0.0082650026599999,0.0227650041,0.08175833656,3.075325127
PF3D7_0102200,Pf3D7_01_v3,+,98402,1,25.592994689000008,20.318249731,4.7512199515,1.70457014603,11.287075120778,12.266371573029996,2.046850034145,0.992211581307,11.924149965499998,11.38224,0.0,3.998990039,0.0,0.0,0.0,0.0,0.0,0.0,0.162609988073,0.36026490545,0.0,0.0,0.0,2.17917500341,0.0,0.8343149809,0.0,0.0,0.0,9.527759997
PF3D7_0102300,Pf3D7_01_v3,+,104160,1,25.914040417,14.365805105999998,20.505479891,0.0,8.9444032071,5.9938132384,0.688181651304,4.160698205299999,0.3366466435,21.48326,6.463169952800001,0.0,0.0,0.0,0.0,0.0,0.0346500009,0.0089600009399999,8.21898988798,10.573114946300002,15.90864484,13.928245026,6.324894834259001,0.11554000795,0.0,0.0,0.0,0.00247167111,0.0,2.4092598569
PF3D7_0103600,Pf3D7_01_v3,+,161057,1,1.824879988292,5.552234993999999,26.859605102,0.1177449649999999,6.605354833799998,11.947836765999998,17.343751559999998,55.59924817,21.789953455000003,13.67776,34.0959303,4.59021994675,0.823559958,0.0467150025599999,1.316875041447,0.0691399903699999,0.27842000548,4.4677500057,0.98098496628,2.8416048585209994,3.624410051511001,2.4696199827524,26.768860093000004,5.62281501387,0.29997998739,0.0,0.0,0.0,0.0,0.0
PF3D7_0103700,Pf3D7_01_v3,+,166512,1,2.9303050913920003,20.050225407,20.824219916,0.0,4.749941652793001,4.7449232923,10.956281539935,47.761798273,26.7392917879,18.14893,28.334305033,4.5312999315,3.916519993,0.1571899991,1.3301549980000005,0.70948000397,0.0,3.322509959100001,7.194335017700001,7.328920086309999,10.38242998,16.796064956000002,19.521079999000005,0.0998750579999999,0.6652150014717,0.0,0.0,1.0863633607999998,0.8135849968,0.0
PF3D7_0103900,Pf3D7_01_v3,+,172653,1,27.563160086,4.340909991699999,9.825919858,0.0,16.336596424000003,14.415889898999996,14.867298356,13.121763433400002,12.84600344986,7.7982,16.954554827000003,1.3824299674,0.21488499968,0.28656000146,0.0125000032,5.635679989300001,3.9672599815,6.528209966,10.268814937,11.327145021300003,4.715690006200001,8.121285038100002,8.430479927599999,3.9077300774,0.5002300353910001,1.724459962,0.0,0.0,0.0,2.6227249708620004
PF3D7_0104100,Pf3D7_01_v3,+,177941,1,37.057354960000005,15.145905016999995,0.4046800210099999,0.0,15.270409878999995,12.6355049017,0.69519492892,0.0,0.0,0.0376699999999999,0.0,0.0,0.0,2.2403949929,1.6723400120999998,5.3937650150000005,4.002009874287,7.968814963,7.429809934234,9.05835482102,9.512269949292,6.511639875021001,0.0,0.0,0.0037800024999999,0.49211497538,0.0,0.0,0.0,0.67944500834
PF3D7_0104300,Pf3D7_01_v3,+,189177,1,7.887620069999998,23.324520015,6.98495003223,9.2307150155,6.261668264259999,14.387488160000002,8.3377183376,2.6445398998,14.69198662189,8.275749999999999,4.437899876396,3.92651009537,0.0294850034329999,0.0,0.0,0.0,0.0,0.0,3.76681999871,4.56244501934,8.493795028000001,9.238644988000004,2.53409504173,1.824065029205,0.0,0.0,0.0,0.02067333545,0.135300032314,0.0
PF3D7_0104600,Pf3D7_01_v3,+,206169,1,13.3534096966,16.559325061000003,19.38610499,0.0,30.521486618399997,23.363444972000003,39.681068288,40.017733211,13.20527014902,6.46693,21.721814997000003,6.26093970409,1.2392650116,0.6916550053,0.5382649859,0.1372599833599999,1.2841449705,2.7236250014000003,19.923285274,15.910774833,4.787659974979,4.73384505206,19.362395177,5.31879513573,0.071310005673,0.57323497256,0.0,2.819003276,3.010731653000001,0.0
