chrom	strand	clu_start	clu_end	sample	score	gene_id	gene_name	cds_start	prom_start	prom_end
Pf3D7_01_v3	+	272307	272320	sample1	0.296475111030926	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	7.86317884296747	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	3.90176224110538	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	0.473351972358046	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	3.88784843724987	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	1.95025965316558	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	5.88557441570099	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	0.784391448089953	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	6.96216308249428	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	0.594667571767848	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	1.09413944346416	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	272307	272323	sample1	7.30711441785917	PF3D7_0106400		272454	271954	272453
Pf3D7_01_v3	+	293620	293636	sample1	3.26715509797992	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	5.08673281967037	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	2.80826808016441	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	14.0749919964103	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	1.34671747866382	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	2.74590125080828	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	3.64191196794264	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	1.08201419825871	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	0.828874491970037	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	1.88416021597893	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	6.74777696402431	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	293620	293636	sample1	4.24738996243058	PF3D7_0107000		293642	293142	293641
Pf3D7_01_v3	+	296812	296869	sample1	18.9444759818432	PF3D7_0107200		297362	296862	297361
Pf3D7_01_v3	+	296812	296869	sample1	0.585222407455067	PF3D7_0107200		297362	296862	297361
Pf3D7_01_v3	+	296812	296869	sample1	17.7717351879834	PF3D7_0107200		297362	296862	297361
Pf3D7_01_v3	+	296812	296869	sample1	1.44538688911761	PF3D7_0107200		297362	296862	297361
